source_file,survey_type,table_code,table_title,base,country,country_std,category,response_option,sample_n,sample_n_raw,value,unit
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,유명 명품 구매 등 럭셔리 쇼핑,2600.0,(2600),14.80796081492202,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,출입국 편의성(비자 면제 등),2600.0,(2600),8.950691583286265,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,항공권 특가 및 할인 프로모션,2600.0,(2600),7.643071838458887,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,"이벤트성 방문(신혼여행, 프로포즈, 생일, 기념일 등)",2600.0,(2600),8.829495184299338,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,"의료 관광(검진, 시술, 수술 등)",2600.0,(2600),13.418505057305396,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,환율 및 현지 물가,2600.0,(2600),7.339778834355254,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,언어소통,2600.0,(2600),9.739168411850647,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,어학/직업 연수 및 유학,2600.0,(2600),5.313488679261416,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,스포츠 관광(경기 관람 및 참여),2600.0,(2600),7.116401623390571,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,종교 환경,2600.0,(2600),7.229485652736431,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,출장 및 학회 행사 개최지,2600.0,(2600),3.9941113357424194,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,과거 방문 경험,2600.0,(2600),1.879583501711617,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,기타,2600.0,(2600),0.07311741190934677,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,"개인 및 인플루언서가 제작한 짧은 이미지(틱톡, 인스타그램 릴스, 유튜브 쇼츠 등)",1670.0,(1670),37.42886998329688,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,음식/식문화,1670.0,(1670),46.52796416713833,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,"뉴스, 영화, 드라마, 다큐멘터리 등 대중 매체",1670.0,(1670),34.46522596479964,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,"가족, 친구, 지인 등 주변인 추천",1670.0,(1670),39.66984310454187,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,관광지/관광 명소,1670.0,(1670),27.87037340741321,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,"유명 인플루언서, 연예인 등의 여행 후기",1670.0,(1670),25.838394238140054,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,전통문화/역사,1670.0,(1670),18.414398635134244,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,자연 경관,1670.0,(1670),12.017760927998944,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,"음악, 영화, 드라마 등 문화콘텐츠/연예인",1670.0,(1670),27.50008027127121,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,관광 관련 공공기관이 제작한 국가 브랜드 홍보 영상,1670.0,(1670),13.871654389766327,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,계절/기후,1670.0,(1670),9.016119562075103,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,해당 국가에서만 판매하는 상품 쇼핑,1670.0,(1670),9.413703021314706,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,건축/도시 디자인,1670.0,(1670),8.093049767249342,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,"웰니스 관광(스파, 디톡스 여행 등)",1670.0,(1670),10.875855839061977,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,치안/안전,1670.0,(1670),13.193412511659094,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,이동거리/비행시간,1670.0,(1670),28.54137481581116,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,일본,일본,국가/지역,항공 노선(직항 및 경유 등),1670.0,(1670),17.790314107430973,%
