country,table_id,indicator,category,item,value,unit,base,source_page,extraction_method,ocr_confidence,verification_status,notes
인도네시아,1-16,호감도,드라마,5점 척도 평균(점),4.15,score(1-5),644.0,"381,382",easyocr+label_targeted_row_lookup,0.5317,auto_extracted,
인도네시아,1-16,호감도,예능,5점 척도 평균(점),4.15,score(1-5),637.0,"381,382",easyocr+label_targeted_row_lookup,0.5317,auto_extracted,
인도네시아,1-16,호감도,영화,5점 척도 평균(점),4.15,score(1-5),635.0,"381,382",easyocr+label_targeted_row_lookup,0.9993,auto_extracted,
인도네시아,1-16,호감도,음악,5점 척도 평균(점),4.08,score(1-5),632.0,"381,382",easyocr+label_targeted_row_lookup,0.9751,auto_extracted,
인도네시아,1-16,호감도,애니메이션,5점 척도 평균(점),4.01,score(1-5),644.0,"381,382",easyocr+label_targeted_row_lookup,0.9999,auto_extracted,
인도네시아,1-16,호감도,출판물,5점 척도 평균(점),4.05,score(1-5),551.0,"381,382",easyocr+label_targeted_row_lookup,0.9854,auto_extracted,
인도네시아,1-16,호감도,웹툰,5점 척도 평균(점),4.24,score(1-5),643.0,"381,382",easyocr+label_targeted_row_lookup,0.6968,auto_extracted,
인도네시아,1-16,호감도,게임,5점 척도 평균(점),4.11,score(1-5),570.0,"381,382",easyocr+label_targeted_row_lookup,0.78,auto_extracted,
인도네시아,1-16,호감도,패션,5점 척도 평균(점),4.17,score(1-5),654.0,"381,382",easyocr+label_targeted_row_lookup,0.7395,auto_extracted,
인도네시아,1-16,호감도,뷰티,5점 척도 평균(점),4.13,score(1-5),643.0,"381,382",easyocr+label_targeted_row_lookup,0.9985,auto_extracted,
인도네시아,1-16,호감도,음식,5점 척도 평균(점),4.04,score(1-5),629.0,"381,382",easyocr+label_targeted_row_lookup,0.6779,auto_extracted,
인도네시아,1-16,호감도,한국어,5점 척도 평균(점),4.31,score(1-5),516.0,"381,382",easyocr+label_targeted_row_lookup,0.9995,auto_extracted,
인도네시아,1-16,호감도,전반적 만족도,5점 척도 평균(점),4.14,score(1-5),1200.0,"381,382",easyocr+label_targeted_row_lookup,0.5897,auto_extracted,
인도네시아,1-33,관심도,,본인 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.76,score(1-5),1200.0,416,easyocr+label_targeted_row_lookup,0.9982,auto_extracted,
인도네시아,1-33,관심도,,본인 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.77,score(1-5),1200.0,416,easyocr+label_targeted_row_lookup,0.9964,auto_extracted,
인도네시아,1-33,관심도,,자국민 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.96,score(1-5),1200.0,416,easyocr+label_targeted_row_lookup,0.999,auto_extracted,
인도네시아,1-33,관심도,,자국민 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.93,score(1-5),1200.0,416,easyocr+label_targeted_row_lookup,0.9986,auto_extracted,
인도네시아,1-33,관심도,,본인 소비지출 의향 변화 (1년 전 대비) - 5점 척도 평균(점),3.59,score(1-5),1200.0,416,easyocr+label_targeted_row_lookup,0.909,auto_extracted,
인도네시아,1-33,관심도,,본인 소비지출 의향 변화 (1년 후 예상) - 5점 척도 평균(점),3.59,score(1-5),1200.0,416,easyocr+label_targeted_row_lookup,0.909,auto_extracted,
인도네시아,1-35,인식변화,,매우 부정적으로 변함,0.2,%,1200.0,418,easyocr+label_targeted_row_lookup,0.7875,auto_extracted,
인도네시아,1-35,인식변화,,약간 부정적으로 변함,1.4,%,1200.0,418,easyocr+label_targeted_row_lookup,0.6822,auto_extracted,
인도네시아,1-35,인식변화,,변화 없음,25.4,%,1200.0,418,easyocr+label_targeted_row_lookup,0.9459,auto_extracted,
인도네시아,1-35,인식변화,,약간 긍정적으로 변함,39.9,%,1200.0,418,easyocr+label_targeted_row_lookup,0.654,auto_extracted,
인도네시아,1-35,인식변화,,매우 긍정적으로 변함,33.1,%,1200.0,418,easyocr+label_targeted_row_lookup,0.9991,auto_extracted,
인도네시아,1-35,인식변화,,5점 척도 평균(점),4.04,score(1-5),1200.0,418,easyocr+label_targeted_row_lookup,0.9997,auto_extracted,
인도네시아,1-41,관광경험,,한국 관광 - 구매(방문) 경험률(%),39.8,%,1200.0,421,easyocr+label_targeted_row_lookup,0.8228,auto_extracted,
인도네시아,1-41,관광경험,,한국 관광 - 평균 구매(방문) 횟수(회),0.87,회,1200.0,421,easyocr+label_targeted_row_lookup,0.6671,auto_extracted,
인도,1-16,호감도,드라마,5점 척도 평균(점),4.24,score(1-5),950.0,"441,442",easyocr+label_targeted_row_lookup,0.9933,auto_extracted,
인도,1-16,호감도,예능,5점 척도 평균(점),4.21,score(1-5),944.0,"441,442",easyocr+label_targeted_row_lookup,0.9993,auto_extracted,
인도,1-16,호감도,영화,5점 척도 평균(점),4.22,score(1-5),957.0,"441,442",easyocr+label_targeted_row_lookup,0.7003,auto_extracted,
인도,1-16,호감도,음악,5점 척도 평균(점),4.18,score(1-5),948.0,"441,442",easyocr+label_targeted_row_lookup,0.8744,auto_extracted,
인도,1-16,호감도,애니메이션,5점 척도 평균(점),4.15,score(1-5),950.0,"441,442",easyocr+label_targeted_row_lookup,0.5317,auto_extracted,
