survey,page,topic,base_desc,group,segment,sample_n,item,value
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 40대,157,5. 매우 만족,44.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 40대,157,긍정응답 (4+5) 비율,85.9
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 40대,157,5점 평균 (점),4.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 50대,150,1. 매우 불만족,1.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 50대,150,2. 대체로 불만족,0.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 50대,150,3. 보통,9.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 50대,150,4. 대체로 만족,58.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 50대,150,5. 매우 만족,30.7
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 50대,150,긍정응답 (4+5) 비율,89.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 50대,150,5점 평균 (점),4.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 60세 이상,116,1. 매우 불만족,4.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 60세 이상,116,2. 대체로 불만족,2.2
